Texto,Sentimiento,ciudad,Experiencia,Fecha,fuente
Excursión al Teide desde el norte de Tenerife,Bueno,Tenerife,tour,,Civitatis
Free tour por Garachico,Bueno,Tenerife,cultura,,Civitatis
"Jeep safari por Icod de los Vinos, Garachico y Masca",Bueno,Tenerife,ocio,,Civitatis
"Jeep safari por Icod de los Vinos, Garachico y Masca",Bueno,Tenerife,ocio,,Civitatis
Tour en quad por La Orotava y el norte de Tenerife,Bueno,Tenerife,deporte,,Civitatis
Excursión al Teide desde el sur de Tenerife,Bueno,Tenerife,tour,,Civitatis
Senderismo por la playa de Antequera + Paseo en barco,Bueno,Tenerife,deporte,,Civitatis
Senderismo por la playa de Antequera + Paseo en barco,Bueno,Tenerife,deporte,,Civitatis
Tour por la Isla Baja,Bueno,Tenerife,tour,,Civitatis
Excursión a Los Cristianos por libre en autobús,Bueno,Tenerife,tour,,Civitatis
Free tour de misterios y leyendas de Puerto de la Cruz,Bueno,Tenerife,tour,,Civitatis
"Excursión a Santa Cruz, La Laguna y Anaga desde el norte de Tenerife",Neutro,Tenerife,museo,,Civitatis
Entrada a la Casa de los Balcones,Bueno,Tenerife,otro,,Civitatis
Entrada a las Pirámides de Güímar,Bueno,Tenerife,otro,,Civitatis
Free tour por Icod de los Vinos,Bueno,Tenerife,tour,,Civitatis
Excursión a La Gomera desde el sur en grupo reducido,Desconocido,Tenerife,tour,,Civitatis
Snorkel en Costa Adeje,Bueno,Tenerife,deporte,,Civitatis
Entrada al Aqua Club Termal,Bueno,Tenerife,cultura,,Civitatis
Entrada a Jungle Park,Bueno,Tenerife,otro,,Civitatis
"Tour de Tenerife, la vuelta a la isla desde el sur",Bueno,Tenerife,tour,,Civitatis
Tour de los misterios y leyendas de La Laguna,Bueno,Tenerife,tour,,Civitatis
"Excursión a Santa Cruz, La Laguna y Anaga desde el sur de Tenerife",Bueno,Tenerife,tour,,Civitatis
Taller de mojos canarios en las bodegas Monje,Bueno,Tenerife,comida,,Civitatis
Entrada al teleférico del Teide + Senderismo al pico,Bueno,Tenerife,ocio,,Civitatis
Hard Rock Cafe Tenerife sin colas,Bueno,Tenerife,playa,,Civitatis
Bautismo de buceo en Las Galletas,Bueno,Tenerife,deporte,,Civitatis
Bautismo de buceo en Radazul,Bueno,Tenerife,deporte,,Civitatis
Degustación en la Casa del Vino,Bueno,Tenerife,comida,,Civitatis
Vuelo en paratrike por el sur de Tenerife,Bueno,Tenerife,playa,,Civitatis
Paddle surf y snorkel en La Caleta,Bueno,Tenerife,deporte,,Civitatis
Free tour de los misterios y leyendas de La Laguna,Bueno,Tenerife,cultura,,Civitatis
Bautismo de buceo en Los Cristianos,Bueno,Tenerife,deporte,,Civitatis
Entrada al Palmetum,Bueno,Tenerife,otro,,Civitatis
Snorkel en la Pared de El Palmar,Bueno,Tenerife,deporte,,Civitatis
Vuelo en parapente por el sur de Tenerife,Bueno,Tenerife,deporte,,Civitatis
Paseo en lancha y snorkel en el Malpaís de Rasca,Desconocido,Tenerife,deporte,,Civitatis
Visita a la quesería Montesdeoca,Bueno,Tenerife,playa,,Civitatis
Visita a las bodegas Monje,Bueno,Tenerife,comida,,Civitatis
Excursión al Teide en bicicleta,Bueno,Tenerife,deporte,,Civitatis
Alquiler de barco sin licencia en Las Galletas,Desconocido,Tenerife,playa,,Civitatis
Entrada a Scandal Dinner Show,Bueno,Tenerife,museo,,Civitatis
Entrada a Scandal Dinner Show,Bueno,Tenerife,museo,,Civitatis
Free tour por Candelaria,Bueno,Tenerife,tour,,Civitatis
Ferry a La Gomera,Desconocido,Tenerife,otro,,Civitatis
Alquiler de lanchas sin licencia en Costa Adeje,Bueno,Tenerife,playa,,Civitatis
Paseo en velero desde Costa Adeje,Bueno,Tenerife,playa,,Civitatis
Visita a las Bodegas Ferrera,Bueno,Tenerife,otro,,Civitatis
Curso de surf en Playa de las Américas,Bueno,Tenerife,deporte,,Civitatis
"Excursión a Los Gigantes, Icod, Puerto de la Cruz y Candelaria",Bueno,Tenerife,tour,,Civitatis
Tour en tuk tuk por Costa Adeje,Bueno,Tenerife,playa,,Civitatis
Entrada al MUNA + Audioguía en el Parque Nacional del Teide,Desconocido,Tenerife,museo,,Civitatis
Entrada a la catedral de La Laguna,Bueno,Tenerife,cultura,,Civitatis
Entrada a Aqualand Costa Adeje,Bueno,Tenerife,ocio,,Civitatis
Visita guiada por Candelaria,Bueno,Tenerife,tour,,Civitatis
Tour por Santa Cruz de Tenerife para cruceros,Bueno,Tenerife,tour,,Civitatis
Tour del vino por el norte de Tenerife,Bueno,Tenerife,comida,,Civitatis
Free tour de los misterios y leyendas de La Orotava,Bueno,Tenerife,tour,,Civitatis
Excursión privada por Tenerife,Bueno,Tenerife,tour,,Civitatis
Excursión al Loro Parque,Bueno,Tenerife,tour,,Civitatis
Tour de los misterios y leyendas del Barranco de Badajoz,Bueno,Tenerife,tour,,Civitatis
Tour de los misterios y leyendas del Barranco de Badajoz,Bueno,Tenerife,tour,,Civitatis
Tour de los misterios y leyendas de Candelaria,Bueno,Tenerife,tour,,Civitatis
Alquiler de barcos sin licencia en Costa Adeje,Bueno,Tenerife,playa,,Civitatis
Excursión al Puerto de la Cruz por libre,Bueno,Tenerife,tour,,Civitatis
Alquiler de barco con patrón en Costa Adeje,Bueno,Tenerife,playa,,Civitatis
Senderismo por el volcán Chinyero,Bueno,Tenerife,deporte,,Civitatis
Tour privado por La Laguna,Bueno,Tenerife,cultura,,Civitatis
Paseo en barco por las lenguas de lava de Costa Adeje + Snorkel,Bueno,Tenerife,deporte,,Civitatis
Espectáculo Olé Flamenco Show,Bueno,Tenerife,cultura,,Civitatis
Tour privado por Santa Cruz de Tenerife,Bueno,Tenerife,tour,,Civitatis
Snorkel en Radazul,Bueno,Tenerife,deporte,,Civitatis
Paseo en barco privado por Los Gigantes y Masca,Bueno,Tenerife,playa,,Civitatis
Ferry a Gran Canaria,Bueno,Tenerife,otro,,Civitatis
Tour del vino por el sur de Tenerife,Bueno,Tenerife,comida,,Civitatis
Alquiler de barco con patrón en Las Galletas,Desconocido,Tenerife,otro,,Civitatis
Espectáculo flamenco en el Castillo de San Miguel,Bueno,Tenerife,museo,,Civitatis
Bautismo de buceo en Abades,Desconocido,Tenerife,deporte,,Civitatis
Paddle surf en Los Cristianos,Bueno,Tenerife,deporte,,Civitatis
Barranquismo en Los Arcos,Desconocido,Tenerife,tour,,Civitatis
Ferry a La Palma,Desconocido,Tenerife,otro,,Civitatis
Ferry a La Palma,Desconocido,Tenerife,otro,,Civitatis
Senderismo por el interior del Parque Rural de Teno,Desconocido,Tenerife,deporte,,Civitatis
Curso de buceo PADI Open Water en Los Cristianos,Bueno,Tenerife,deporte,,Civitatis
Paseo en catamarán con comida desde Las Galletas,Bueno,Tenerife,comida,,Civitatis
Curso Scuba Diver en Los Abrigos,Desconocido,Tenerife,tour,,Civitatis
Visita a las Bodegas Viñátigo,Desconocido,Tenerife,museo,,Civitatis
Alquiler de bicicleta en el sur de Tenerife,Bueno,Tenerife,deporte,,Civitatis
"Paseo en catamarán por Los Gigantes, Costa Adeje y Masca",Bueno,Tenerife,playa,,Civitatis
Tour en buggy por el sur de Tenerife,Bueno,Tenerife,tour,,Civitatis
Free tour del Carnaval de Santa Cruz de Tenerife,Bueno,Tenerife,tour,,Civitatis
Free tour del vino en El Sauzal,Bueno,Tenerife,comida,,Civitatis
Senderismo por el Parque Rural de Teno,Bueno,Tenerife,deporte,,Civitatis
Excursión al Teide y La Orotava para cruceros,Bueno,Tenerife,tour,,Civitatis
Senderismo por el búnker de San Andrés,Bueno,Tenerife,deporte,,Civitatis
Tour del vino por La Orotava + Visita al Museo del Gofio,Desconocido,Tenerife,museo,,Civitatis
Senderismo por la Punta de Abona y sanatorio de Abades,Desconocido,Tenerife,deporte,,Civitatis
Tour del vino por el sur de Tenerife,Desconocido,Tenerife,comida,,Civitatis
Free tour por Valencia,Bueno,Valencia,tour,,Civitatis
Entrada al Oceanogràfic,Bueno,Valencia,otro,,Civitatis
Tour de Valencia al completo con entradas,Bueno,Valencia,cultura,,Civitatis
Paseo en catamarán por Valencia,Bueno,Valencia,deporte,,Civitatis
Paseo en catamarán al atardecer,Bueno,Valencia,playa,,Civitatis
Entrada a la Ciudad de las Artes y las Ciencias,Bueno,Valencia,otro,,Civitatis
Traslados en Valencia,Bueno,Valencia,hotel,,Civitatis
"Excursión a Altea, Guadalest y las Fuentes del Algar",Bueno,Valencia,tour,,Civitatis
Excursión a las cuevas de San José,Bueno,Valencia,tour,,Civitatis
Free tour de los misterios y leyendas de Valencia,Bueno,Valencia,tour,,Civitatis
Excursión a La Albufera,Bueno,Valencia,tour,,Civitatis
Autobús turístico de Valencia,Bueno,Valencia,tour,,Civitatis
Tarjeta eSIM Civitatis España,Bueno,Valencia,otro,,Civitatis
Paseo en catamarán por Valencia con comida,Bueno,Valencia,comida,,Civitatis
Tour del estadio de Mestalla,Bueno,Valencia,deporte,,Civitatis
Free tour por la Ciudad de las Artes y las Ciencias,Bueno,Valencia,tour,,Civitatis
Free tour por la Valencia macabra,Bueno,Valencia,tour,,Civitatis
Espectáculo flamenco en el tablao Palosanto,Bueno,Valencia,museo,,Civitatis
Tour en segway por Valencia,Bueno,Valencia,tour,,Civitatis
Entrada a la iglesia de San Nicolás,Bueno,Valencia,cultura,,Civitatis
Entrada a Bioparc Valencia,Bueno,Valencia,otro,,Civitatis
"Excursión a Altea, Villajoyosa y Benidorm",Bueno,Valencia,tour,,Civitatis
Entrada al Centro de Arte Hortensia Herrero,Bueno,Valencia,museo,,Civitatis
Visita guiada por la Ciudad de las Artes con entradas,Bueno,Valencia,museo,,Civitatis
Entrada al Hemisfèric,Bueno,Valencia,otro,,Civitatis
Entrada al Museo de las Ciencias Príncipe Felipe,Bueno,Valencia,museo,,Civitatis
Free tour por la Valencia modernista,Bueno,Valencia,tour,,Civitatis
Free tour por el barrio de El Carmen,Bueno,Valencia,museo,,Civitatis
Cena con espectáculo flamenco en Valencia,Bueno,Valencia,cultura,,Civitatis
Autobús turístico de la Albufera + Paseo en barca,Neutro,Valencia,tour,,Civitatis
Tour privado en tuk tuk por Valencia,Bueno,Valencia,tour,,Civitatis
Tour en bicicleta por Valencia,Bueno,Valencia,tour,,Civitatis
Excursión a Chulilla,Bueno,Valencia,tour,,Civitatis
Paseo en yate al atardecer,Neutro,Valencia,playa,,Civitatis
Fiesta en barco por Valencia con comida,Bueno,Valencia,museo,,Civitatis
Tour en bicicleta por el Jardín del Turia,Bueno,Valencia,tour,,Civitatis
Free tour por Valencia en bicicleta,Bueno,Valencia,tour,,Civitatis
Excursión a Bocairente,Bueno,Valencia,tour,,Civitatis
Free tour por el Cabañal,Bueno,Valencia,cultura,,Civitatis
Excursión a Sagunto,Bueno,Valencia,cultura,,Civitatis
Tour por la Valencia medieval,Bueno,Valencia,cultura,,Civitatis
Juego de pistas en Valencia: Búsqueda del tesoro,Bueno,Valencia,otro,,Civitatis
Tour de los Borgia por Valencia + Visita a la catedral,Bueno,Valencia,cultura,,Civitatis
Excursión a Montanejos,Bueno,Valencia,deporte,,Civitatis
Valencia Tourist Card,Bueno,Valencia,otro,,Civitatis
Tour de la Guerra Civil Española,Bueno,Valencia,tour,,Civitatis
Entrada al Museo de la Seda,Bueno,Valencia,museo,,Civitatis
Tour privado por Valencia,Bueno,Valencia,comida,,Civitatis
Visita guiada por Valencia y la Lonja de la Seda,Bueno,Valencia,tour,,Civitatis
Excursión a Morella y Peñíscola,Bueno,Valencia,tour,,Civitatis
Excursión a Játiva,Bueno,Valencia,tour,,Civitatis
Hard Rock Cafe Valencia sin colas,Bueno,Valencia,museo,,Civitatis
Excursión a la isla de Tabarca y el palmeral de Elche,Bueno,Valencia,tour,,Civitatis
Excursión a la isla de Tabarca,Bueno,Valencia,playa,,Civitatis
Excursión a las bodegas de Requena,Bueno,Valencia,comida,,Civitatis
Tour por Valencia y la Albufera + Campos de arroz,Desconocido,Valencia,tour,,Civitatis
Clase de paella valenciana,Bueno,Valencia,comida,,Civitatis
Excursión a Peñíscola,Bueno,Valencia,tour,,Civitatis
Visita al Palacio de las Artes Reina Sofía,Desconocido,Valencia,cultura,,Civitatis
Excursión a Játiva y Anna,Desconocido,Valencia,tour,,Civitatis
Excursión al Parque Natural de la Albufera y Cullera,Desconocido,Valencia,playa,,Civitatis
Tour del Santo Grial con Indiana Jones,Bueno,Valencia,tour,,Civitatis
Barco navideño de Valencia,Bueno,Valencia,otro,,Civitatis
Tour por la Valencia fallera,Bueno,Valencia,cultura,,Civitatis
Ferry a Port Saplaya,Neutro,Valencia,otro,,Civitatis
